Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
1999,Utah,Colon and Rectum,42.8,39.6,46.2,654,2203482
1999,Arizona,Colon and Rectum,46.2,44.3,48.1,2315,5023823
1999,Colorado,Colon and Rectum,47,44.7,49.4,1619,4226018
1999,New Hampshire,Colon and Rectum,54.6,50.5,59,644,1222014
1999,Mississippi,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Missouri,Colon and Rectum,58.7,56.8,60.7,3436,5561948
1999,Montana,Colon and Rectum,55.6,50.9,60.5,527,897507
1999,Minnesota,Colon and Rectum,52.4,50.3,54.5,2477,4873481
1999,Illinois,Colon and Rectum,60.4,59,61.8,7188,12359020
1999,Indiana,Colon and Rectum,57.8,55.9,59.7,3429,6044969
1999,Iowa,Colon and Rectum,65.8,63.1,68.7,2201,2917634
1999,Kansas,Colon and Rectum,56.2,53.4,59.1,1549,2678338
1999,Kentucky,Colon and Rectum,61.6,59.2,64.1,2455,4018053
1999,Louisiana,Colon and Rectum,59.5,57.1,61.9,2432,4460811
1999,Maine,Colon and Rectum,63.4,59.3,67.7,898,1266808
1999,Maryland,Colon and Rectum,55.6,53.5,57.7,2700,5254509
1999,Massachusetts,Colon and Rectum,59.7,57.9,61.6,3998,6317345
1999,Michigan,Colon and Rectum,55.7,54.2,57.2,5364,9897116
1999,New Jersey,Colon and Rectum,63.2,61.6,64.9,5508,8359592
1999,New York,Colon and Rectum,61.7,60.6,62.9,11824,18882725
1999,North Carolina,Colon and Rectum,50.4,48.8,52,3872,7949361
1999,North Dakota,Colon and Rectum,55.3,49.9,61.2,393,644259
1999,Ohio,Colon and Rectum,59.5,58.1,60.9,6986,11335454
1999,Oklahoma,Colon and Rectum,54,51.6,56.5,1912,3437147
1999,Oregon,Colon and Rectum,53.5,51.1,56,1866,3393941
1999,Pennsylvania,Colon and Rectum,62.2,60.9,63.5,9041,12263805
1999,Rhode Island,Colon and Rectum,67.3,62.6,72.2,784,1040402
1999,West Virginia,Colon and Rectum,61.8,58.5,65.3,1313,1811799
1999,Texas,Colon and Rectum,50.7,49.6,51.8,8502,20558220
1999,Vermont,Colon and Rectum,59.9,53.9,66.3,369,604683
1999,Virginia,Colon and Rectum,50.7,49,52.5,3271,7000174
1999,Washington,Colon and Rectum,52.9,51,54.9,2846,5842564
1999,Alabama,Colon and Rectum,49.7,47.7,51.8,2250,4430141
1999,Arkansas,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Alaska,Colon and Rectum,62,53.1,71.8,209,624779
1999,Connecticut,Colon and Rectum,61.9,59.4,64.5,2283,3386401
1999,Delaware,Colon and Rectum,58.4,53.1,64,454,774990
1999,California,Colon and Rectum,50.8,50,51.6,14567,33499204
1999,District of Columbia,Colon and Rectum,60.7,54.4,67.5,337,570213
1999,Florida,Colon and Rectum,58.8,57.8,59.9,11925,15759421
1999,Georgia,Colon and Rectum,50.5,48.8,52.3,3329,8045965
1999,Hawaii,Colon and Rectum,55.5,51.4,59.8,680,1210300
1999,Wisconsin,Colon and Rectum,60.8,58.8,62.9,3338,5332666
1999,Wyoming,Colon and Rectum,58.3,51.5,65.8,267,491780
1999,South Dakota,Colon and Rectum,null,null,null,Data Suppressed,null
1999,Tennessee,Colon and Rectum,47.1,45.3,48.9,2640,5638706
1999,South Carolina,Colon and Rectum,54.7,52.3,57.1,2102,3974682
1999,Nebraska,Colon and Rectum,61.2,57.6,64.9,1100,1704764
1999,Nevada,Colon and Rectum,51.6,48.2,55.2,895,1934718
1999,Idaho,Colon and Rectum,45.4,41.6,49.4,526,1275674
1999,New Mexico,Colon and Rectum,44.4,41.2,47.7,739,1808082
2000,Idaho,Colon and Rectum,47.8,43.9,51.9,566,1299430
2000,Florida,Colon and Rectum,59,57.9,60,12109,16047515
2000,Georgia,Colon and Rectum,52.5,50.8,54.3,3567,8227303
2000,Hawaii,Colon and Rectum,51.6,47.7,55.8,650,1213519
2000,Illinois,Colon and Rectum,61.1,59.7,62.5,7328,12434161
2000,Indiana,Colon and Rectum,57.2,55.3,59.1,3432,6091866
2000,Iowa,Colon and Rectum,62.2,59.6,65,2110,2929067
2000,Kansas,Colon and Rectum,55.9,53.1,58.8,1551,2693681
2000,Kentucky,Colon and Rectum,61.7,59.3,64.2,2498,4049021
2000,Louisiana,Colon and Rectum,61.1,58.8,63.6,2542,4471885
2000,Maryland,Colon and Rectum,56.8,54.7,58.9,2822,5311034
2000,Massachusetts,Colon and Rectum,57.9,56.1,59.7,3922,6361104
2000,Maine,Colon and Rectum,59.9,56,64.1,865,1277072
2000,Michigan,Colon and Rectum,54.8,53.3,56.2,5338,9952450
